importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
24,3834754705,13.8596453,100.7392992,ซอยวัดสุขใจ; วัดสุขใจ 5/1; วัดสุขใจ 6,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.023333333333333334,1.0
25,1669530698,13.8330777,100.7640554,ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.09090909090909091,0.005,0.055,0.9979374673306525
26,6128822544,13.8408751,100.698682,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 2,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.011666666666666667,1.0
27,1669530708,13.8365706,100.7693233,ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.06060606060606061,0.0033333333333333335,0.055,0.9986237253294998
28,5941658256,13.8956484,100.7134093,ถนนไทยรามัญ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.05128205128205128,0.0033333333333333335,0.065,0.9988095119638716
29,5941663059,13.8953657,100.7106823,ถนนไทยรามัญ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.09302325581395349,0.006666666666666667,0.07166666666666667,0.9978122301482407
30,4688947276,13.8947865,100.7075883,ถนนไทยรามัญ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.1794871794871795,0.011666666666666667,0.065,0.9958491218997219
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.13559322033898305,0.013333333333333334,0.09833333333333333,0.9966347800534916
2,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.03125,0.0016666666666666668,0.05333333333333334,0.9992923343883655
3,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.09090909090909091,0.008333333333333333,0.09166666666666666,0.9977710780877171
4,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.2711864406779661,0.02666666666666667,0.09833333333333333,0.9932959563679113
5,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.02631578947368421,0.0016666666666666668,0.06333333333333334,0.9993908295105771
6,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.1702127659574468,0.013333333333333334,0.07833333333333334,0.9959493932303707
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.06349206349206349,0.006666666666666667,0.105,0.9983997847622581
8,3841546184,13.8414941,100.7029031,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 5; สุเหร่าคลองหนึ่ง ซอย 5,medium,1.0,roundabout,Roundabout,0.14006514657980457,0.0,0.0,0.07333333333333333,1.0
